Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"2,855",Whack The Bell Tap N Cash,Games Global,Instant Win,"January, 2025",18,$0.41,$0.35,0.42,0.1,0.08,0.15,0.00%
,,"2,856","Jackpot Jester 50,000",Light & Wonder,Slot,"June, 2021",3,$1.27,$1.07,0.13,0.1,0.08,0.09,0.00%
,,"2,857",Mega Money Machine,Reel Play,Slot,"July, 2024",29,$1.78,$1.23,0.12,0.1,0.08,0.09,0.00%
,,"2,858",First Person Bac Bo,Evolution,Table Game,"May, 2025",6,$56.81,$12.52,0.01,0.1,0.08,0.03,0.00%
,,"2,859",Jungle Monkeys,Ainsworth,Slot,"March, 2021",7,$1.04,$0.91,0.19,0.1,0.08,0.09,0.00%
,,"2,860",Golden Wisdom,Ainsworth,Slot,"March, 2021",7,$1.86,$1.48,0.11,0.1,0.08,0.09,0.00%
,,"2,861",Divers Paradise,Spinberry,Slot,"October, 2025",3,$1.21,$1.42,0.13,0.0,0.08,0.09,0.00%
,,"2,862",Dino Pays,Design Works Gaming,Slot,"June, 2024",19,$1.73,$1.21,0.08,0.1,0.08,0.09,0.00%
,,"2,863",Tai The Toad,Hacksaw Gaming,Slot,"December, 2024",5,$1.93,$1.75,0.06,0.1,0.08,0.09,0.00%
,,"2,864",Diamond Rise,Playtech,Slot,"June, 2024",15,$0.66,$0.32,0.42,0.1,0.08,0.09,0.00%
,,"2,865",Pearl Legend Hold And Win,Igt,Slot,"June, 2024",21,$1.46,$1.11,0.09,0.1,0.08,0.09,0.00%
,,"2,866",Boat Bonanza Croconile,Play N Go,Slot,"August, 2025",18,$1.00,$1.01,0.15,0.1,0.08,0.09,0.00%
,,"2,867",Starburst Xxxtreme,Evolution,Slot,"April, 2022",17,$0.73,$0.58,0.31,0.1,0.08,0.09,0.00%
,,"2,868",Power Of Gods Valhalla,Wazdan,Slot,"June, 2023",20,$1.13,$0.99,0.18,0.1,0.08,0.09,0.00%
,,"2,869",Last Chance Saloon,Evolution,Slot,"July, 2023",17,$1.19,$0.96,0.14,0.1,0.08,0.09,0.00%
,,"2,870",Guss Gold Hold And Win,Igt,Slot,"January, 2024",21,$1.66,$1.52,0.08,0.1,0.08,0.09,0.00%
,,"2,871",Sun Of Fortune Xmas Edition,Wazdan,Slot,"November, 2024",8,$1.50,$0.93,0.20,0.1,0.08,0.09,0.00%
,,"2,872",Extreme Multifire Roulette,Games Global,Table Game,"August, 2025",7,$15.22,$12.01,0.01,0.0,0.08,0.03,0.00%
,,"2,873",Rise Of Maya,Evolution,Slot,"March, 2021",9,$1.51,$1.00,0.34,0.1,0.08,0.09,0.00%
,,"2,874",Star Magic,Everi,Slot,"March, 2021",27,$1.95,$1.63,0.11,0.1,0.08,0.09,0.00%
,,"2,875",Big Roar,Bragg Gaming Group,Slot,"July, 2024",16,$1.42,$1.29,0.09,0.1,0.08,0.09,0.00%
,,"2,876",Colossal Heat Sticky Credits,Bragg Gaming Group,Slot,"August, 2022",16,$2.33,$2.52,0.04,0.1,0.08,0.09,0.00%
,,"2,877",Respin Rhino,Light & Wonder,Slot,"March, 2021",17,$1.72,$1.47,0.10,0.1,0.08,0.09,0.00%
,,"2,878",Day Of The Dinero,Games Global,Slot,"October, 2024",16,$1.36,$1.35,0.10,0.1,0.08,0.09,0.00%
,,"2,879",Blobsters Clusterbuster,Evolution,Slot,"September, 2023",20,$0.91,$0.59,0.15,0.1,0.08,0.09,0.00%
,,"2,880",Ultra Rush Golden Steed,Incredible Technologies,Slot,"July, 2023",16,$2.01,$1.60,0.09,0.1,0.08,0.09,0.00%
,,"2,881",9k Yeti,4theplayer,Slot,"June, 2022",23,$1.55,$1.02,0.08,0.1,0.08,0.09,0.00%
,,"2,882",Jack Hammer 3 Diamond Affair,Evolution,Slot,"June, 2024",20,$1.87,$1.68,0.10,0.1,0.08,0.09,0.00%
,,"2,883",Christmas Morning,Evolution,Slot,"November, 2024",27,$1.30,$1.06,0.12,0.1,0.08,0.09,0.00%
,,"2,884",Monopoly Bring The House Down,Light & Wonder,Slot,"March, 2021",4,$10.66,$8.52,0.05,0.1,0.08,0.09,0.00%
,,"2,885",Deuces And Joker Wild,Internal,Video Poker,"April, 2021",4,$1.20,$1.06,0.87,0.3,0.08,0.06,0.00%
,,"2,886",Red Heiress,Ainsworth,Slot,"August, 2021",5,$2.71,$2.54,0.06,0.1,0.08,0.09,0.00%
,,"2,887",Secret 7s,Inspired,Slot,"August, 2023",17,$1.14,$0.83,0.09,0.0,0.08,0.09,0.00%
,,"2,888",The Winners Arms,Spinberry,Slot,"March, 2024",9,$1.15,$0.95,0.11,0.0,0.08,0.09,0.00%
,,"2,889",Case Closed,Evolution,Slot,"March, 2024",24,$1.30,$0.81,0.11,0.1,0.08,0.09,0.00%
,,"2,890",Diamond Spins Cleopatra,Igt,Slot,"March, 2023",12,$0.84,$0.86,0.25,0.1,0.08,0.09,0.00%
,,"2,891",Claw And Roar,Light & Wonder,Slot,"May, 2024",28,$1.73,$1.33,0.07,0.0,0.08,0.09,0.00%
,,"2,892",Armadillo Goes West,Spearhead Studios,Slot,"December, 2022",5,$1.70,$1.35,0.07,0.1,0.08,0.09,0.00%
,,"2,893",Magic Gate,Evolution,Slot,"August, 2025",17,$1.61,$1.01,0.14,0.1,0.08,0.09,0.00%
